# file...... rec_motor_node_5_im_mtr.csv
# date...... Sun Mar 31 23:00:20 2024
# user...... xiej204
# host...... (null)
# target.... motor 27
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,mechanical_torque, rotor_speed, electrical_power, electrical_power.real, electrical_power.imag
2000-01-01 00:00:00 EST,+0.9,+376.99,+41093+89.3286d,+481.557,+41090.1
2000-01-01 00:00:01 EST,+0.9,+376.99,+40208.9+89.6141d,+270.794,+40208
2000-01-01 00:00:02 EST,+0.9,+376.99,+40449.4+89.5475d,+319.476,+40448.2
2000-01-01 00:00:03 EST,+0.9,+376.99,+40389.9+89.564d,+307.362,+40388.8
2000-01-01 00:00:04 EST,+0.9,+376.99,+40399.8+89.5612d,+309.417,+40398.6
2000-01-01 00:00:05 EST,+0.9,+376.99,+40399.6+89.5613d,+309.338,+40398.4
2000-01-01 00:00:06 EST,+0.9,+376.99,+40398.7+89.5614d,+309.223,+40397.5
2000-01-01 00:00:07 EST,+0.9,+376.99,+40399.3+89.5613d,+309.299,+40398.1
2000-01-01 00:00:08 EST,+0.9,+376.99,+40399+89.5614d,+309.263,+40397.8
2000-01-01 00:00:09 EST,+0.9,+376.99,+40399.1+89.5614d,+309.276,+40397.9
2000-01-01 00:00:10 EST,+0.9,+376.99,+40399.1+89.5614d,+309.271,+40397.9
2000-01-01 00:00:11 EST,+0.9,+376.99,+40399.1+89.5614d,+309.272,+40397.9
2000-01-01 00:00:12 EST,+0.9,+376.99,+40399.1+89.5614d,+309.271,+40397.9
2000-01-01 00:00:13 EST,+0.9,+376.99,+40399.1+89.5614d,+309.271,+40397.9
2000-01-01 00:00:14 EST,+0.9,+376.99,+40399.1+89.5614d,+309.27,+40397.9
