# file...... rec_swt_node_5_im.csv
# date...... Sun Mar 31 23:00:20 2024
# user...... xiej204
# host...... (null)
# target.... switch 24
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_out_A.real, power_out_A.imag, power_out_A, power_out_B.real, power_out_B.imag, power_out_B, power_out_C.real, power_out_C.imag, power_out_C, power_out.real, power_out.imag, power_out
2000-01-01 00:00:00 EST,+3899.98,-8526.01,+9375.64-65.4196d,+17234.3,+28771.6,+33538.5+59.0782d,-21096.6,+20321,+29291.7+136.073d,+37.723,+40566.6,+40566.6+89.9467d
2000-01-01 00:00:01 EST,+969.161,-2247.25,+2447.33-66.6711d,+13204.3,+22665.7,+26231.4+59.7762d,-13788.7,+19885.3,+24198.2+124.738d,+384.75,+40303.7,+40305.5+89.4531d
2000-01-01 00:00:02 EST,+2406.13,-3862.13,+4550.33-58.0768d,+13881.2,+24877.6,+28488.2+60.8394d,-16013.3,+19407.9,+25161.3+129.526d,+273.979,+40423.3,+40424.3+89.6117d
2000-01-01 00:00:03 EST,+1835.25,-3508.83,+3959.8-62.3888d,+13880.2,+24156.1,+27859.9+60.1181d,-15392.5,+19744.2,+25035.3+127.94d,+322.927,+40391.4,+40392.7+89.5419d
2000-01-01 00:00:04 EST,+2036.74,-3561.14,+4102.44-60.2332d,+13813.4,+24371.5,+28013.9+60.4562d,-15545.6,+19588.9,+25007.8+128.435d,+304.503,+40399.2,+40400.4+89.5681d
2000-01-01 00:00:05 EST,+1971.97,-3564.75,+4073.83-61.0492d,+13853.8,+24313.3,+27983.3+60.3254d,-15515,+19649.2,+25036.1+128.295d,+310.752,+40397.8,+40399+89.5593d
2000-01-01 00:00:06 EST,+1991.02,-3557.35,+4076.63-60.7647d,+13836.1,+24327,+27986.4+60.3708d,-15518.2,+19628.3,+25021.7+128.33d,+308.858,+40397.9,+40399.1+89.562d
2000-01-01 00:00:07 EST,+1985.97,-3561.46,+4077.75-60.8547d,+13842.7,+24324.5,+27987.6+60.3564d,-15519.3,+19634.9,+25027.6+128.323d,+309.378,+40398,+40399.1+89.5612d
2000-01-01 00:00:08 EST,+1987.12,-3559.72,+4076.79-60.8287d,+13840.5,+24324.7,+27986.6+60.3606d,-15518.3,+19633,+25025.4+128.324d,+309.252,+40397.9,+40399.1+89.5614d
2000-01-01 00:00:09 EST,+1986.93,-3560.36,+4077.26-60.8355d,+13841.2,+24324.8,+27987.1+60.3595d,-15518.8,+19633.5,+25026.1+128.324d,+309.283,+40397.9,+40399.1+89.5614d
2000-01-01 00:00:10 EST,+1986.93,-3560.14,+4077.07-60.834d,+13841,+24324.7,+27986.9+60.3597d,-15518.6,+19633.4,+25025.9+128.324d,+309.27,+40397.9,+40399.1+89.5614d
2000-01-01 00:00:11 EST,+1986.95,-3560.21,+4077.14-60.8342d,+13841,+24324.8,+27986.9+60.3597d,-15518.7,+19633.4,+25026+128.324d,+309.272,+40397.9,+40399.1+89.5614d
2000-01-01 00:00:12 EST,+1986.94,-3560.19,+4077.12-60.8342d,+13841,+24324.7,+27986.9+60.3597d,-15518.7,+19633.4,+25026+128.324d,+309.271,+40397.9,+40399.1+89.5614d
2000-01-01 00:00:13 EST,+1986.94,-3560.2,+4077.12-60.8342d,+13841,+24324.7,+27986.9+60.3597d,-15518.7,+19633.4,+25026+128.324d,+309.271,+40397.9,+40399.1+89.5614d
2000-01-01 00:00:14 EST,+1986.94,-3560.2,+4077.12-60.8342d,+13841,+24324.7,+27986.9+60.3597d,-15518.7,+19633.4,+25026+128.324d,+309.27,+40397.9,+40399.1+89.5614d
